time_s,latitude_deg,longitude_deg,altitude_km,downrange_km,crossrange_km,speed_km_s,frame,segment,events,truth_checksum
0.000000,28.499996311,-80.599996281,0.002686,0.000000,0.000000,0.000000000,LocalEnuV1,LocalLaunch,0x0000,0x811c9dc5
0.906250,28.499996311,-80.600002257,0.010742,-0.000244,0.000244,0.018434227,EarthFixedEcefV1,EcefAscent,0x0003,0x6250d25f
0.968750,28.499998872,-80.599996281,0.012207,0.000000,0.000244,0.019715965,EarthFixedEcefV1,EcefAscent,0x0000,0x38ecf576
1.968750,28.499998872,-80.599999696,0.042236,-0.000244,0.000000,0.040377915,EarthFixedEcefV1,EcefAscent,0x0000,0x6d6e8d7e
2.968750,28.499998872,-80.599996281,0.093018,0.000000,-0.000244,0.061302960,EarthFixedEcefV1,EcefAscent,0x0000,0x70c653bf
3.968750,28.500002287,-80.599995427,0.164795,0.000488,0.000244,0.082445204,EarthFixedEcefV1,EcefAscent,0x0000,0xcfc25426
4.968750,28.500002287,-80.599992012,0.258057,0.000488,0.000244,0.103761733,EarthFixedEcefV1,EcefAscent,0x0000,0xd64a8e32
5.968750,28.500003141,-80.599979205,0.372559,0.002197,0.000244,0.125204146,EarthFixedEcefV1,EcefAscent,0x0000,0xaba26664
6.968750,28.500003141,-80.599958715,0.508301,0.004150,0.000488,0.146724164,EarthFixedEcefV1,EcefAscent,0x0000,0xcb103950
7.968750,28.500002287,-80.599923710,0.665771,0.007324,0.000732,0.168274283,EarthFixedEcefV1,EcefAscent,0x0000,0x36736fc5
8.968750,28.500003141,-80.599880167,0.844727,0.011475,0.000977,0.189767182,EarthFixedEcefV1,EcefAscent,0x0000,0xefb1e195
9.968750,28.500006556,-80.599815281,1.044922,0.017090,0.001221,0.211087227,EarthFixedEcefV1,EcefAscent,0x0000,0xafaf567c
10.968750,28.500009117,-80.599733318,1.266602,0.025146,0.000732,0.232152462,EarthFixedEcefV1,EcefAscent,0x0000,0x51ebe6d6
11.968750,28.500015948,-80.599630866,1.509277,0.035400,0.001709,0.252886713,EarthFixedEcefV1,EcefAscent,0x0000,0x56f67d90
12.968750,28.500016801,-80.599507922,1.771729,0.048096,0.002197,0.273201227,EarthFixedEcefV1,EcefAscent,0x0000,0x67af4be2
13.968750,28.500020216,-80.599347413,2.054443,0.063721,0.002441,0.292735696,EarthFixedEcefV1,EcefAscent,0x0000,0x276dc6ec
14.968750,28.500023632,-80.599162144,2.356201,0.082031,0.002686,0.311297178,EarthFixedEcefV1,EcefAscent,0x0000,0x197e6950
15.968750,28.500029608,-80.598937601,2.675293,0.103516,0.003174,0.328818560,EarthFixedEcefV1,EcefAscent,0x0000,0x3ec6341b
16.968750,28.500033877,-80.598684031,3.011719,0.128174,0.003906,0.345735908,EarthFixedEcefV1,EcefAscent,0x0000,0xf9f2ac87
17.968750,28.500037292,-80.598390332,3.364746,0.156982,0.004150,0.362658858,EarthFixedEcefV1,EcefAscent,0x0000,0x9185a6a2
18.968750,28.500044122,-80.598069314,3.734619,0.189941,0.005127,0.379672229,EarthFixedEcefV1,EcefAscent,0x0000,0x414a1bab
19.968750,28.500050952,-80.597686823,4.121094,0.227295,0.005615,0.396867871,EarthFixedEcefV1,EcefAscent,0x0000,0xac15507f
20.968750,28.500057782,-80.597256521,4.524414,0.269043,0.006348,0.414346397,EarthFixedEcefV1,EcefAscent,0x0000,0x3cc771fb
21.968750,28.500067174,-80.596775847,4.945068,0.316162,0.007568,0.432217658,EarthFixedEcefV1,EcefAscent,0x0000,0x0e683361
22.968750,28.500071443,-80.596245653,5.383301,0.368408,0.008057,0.450510800,EarthFixedEcefV1,EcefAscent,0x0000,0x35872b6d
23.968750,28.500081688,-80.595651427,5.839355,0.426758,0.008545,0.469191194,EarthFixedEcefV1,EcefAscent,0x0000,0xe94c29ec
24.968750,28.500085103,-80.594993167,6.313721,0.490967,0.009521,0.488274634,EarthFixedEcefV1,EcefAscent,0x0000,0x58311bfb
25.968750,28.500097910,-80.594272582,6.806641,0.562012,0.010986,0.507600069,EarthFixedEcefV1,EcefAscent,0x0000,0x8ad8465f
26.968750,28.500098764,-80.593469181,7.317871,0.639648,0.011475,0.527247787,EarthFixedEcefV1,EcefAscent,0x0000,0xfff64a0b
27.968750,28.500112424,-80.592601747,7.848145,0.725586,0.012695,0.547324777,EarthFixedEcefV1,EcefAscent,0x0000,0x454c9c99
28.968750,28.500125231,-80.591653205,8.398193,0.818604,0.014160,0.567951500,EarthFixedEcefV1,EcefAscent,0x0000,0x69ecd6fa
29.968750,28.500136330,-80.590614162,8.967773,0.920410,0.015137,0.589262843,EarthFixedEcefV1,EcefAscent,0x0000,0xb9bc822e
30.968750,28.500145721,-80.589494011,9.557617,1.030273,0.016602,0.611409605,EarthFixedEcefV1,EcefAscent,0x0000,0x146c00b7
31.968750,28.500159382,-80.588272261,10.168945,1.150146,0.017578,0.634547353,EarthFixedEcefV1,EcefAscent,0x0000,0x44063dd7
32.968750,28.500167066,-80.586946351,10.802246,1.280273,0.019043,0.658523738,EarthFixedEcefV1,EcefAscent,0x0000,0xf33015b8
33.968750,28.500184141,-80.585515426,11.458252,1.420654,0.020508,0.683366776,EarthFixedEcefV1,EcefAscent,0x0000,0xdf18e867
34.968750,28.500196948,-80.583979487,12.137939,1.571533,0.022461,0.709242821,EarthFixedEcefV1,EcefAscent,0x0000,0x2f6bb9b2
35.968750,28.500208047,-80.582312067,12.841797,1.735352,0.023438,0.736340880,EarthFixedEcefV1,EcefAscent,0x0000,0x24c64490
36.968750,28.500225122,-80.580516581,13.571533,1.911377,0.025635,0.764878750,EarthFixedEcefV1,EcefAscent,0x0000,0xa454fe5b
37.968750,28.500242198,-80.578586199,14.327881,2.101074,0.027100,0.795104861,EarthFixedEcefV1,EcefAscent,0x0000,0xcdbdb2a5
38.968750,28.500259273,-80.576509821,15.113037,2.304688,0.028564,0.827296436,EarthFixedEcefV1,EcefAscent,0x0000,0xd7148f62
39.968750,28.500276349,-80.574277203,15.928223,2.524658,0.031006,0.861095071,EarthFixedEcefV1,EcefAscent,0x0000,0x33249720
40.968750,28.500292570,-80.571872977,16.774658,2.760742,0.032715,0.896320224,EarthFixedEcefV1,EcefAscent,0x0000,0x7538be6a
41.968750,28.500306231,-80.569308241,17.653076,3.014160,0.034424,0.933039725,EarthFixedEcefV1,EcefAscent,0x0000,0x3d2151e3
42.968750,28.500327575,-80.566542014,18.565918,3.285156,0.036621,0.971453130,EarthFixedEcefV1,EcefAscent,0x0000,0x67ed8220
43.968750,28.500347212,-80.563577712,19.513916,3.576660,0.038818,1.011860549,EarthFixedEcefV1,EcefAscent,0x0000,0xe0ba02ba
44.968750,28.500365141,-80.560408504,20.498779,3.888184,0.041504,1.054480672,EarthFixedEcefV1,EcefAscent,0x0000,0x3b70373e
45.968750,28.500389047,-80.557016462,21.522461,4.222168,0.044189,1.098822296,EarthFixedEcefV1,EcefAscent,0x0000,0x2c1acc90
46.968750,28.500412099,-80.553387070,22.586182,4.579590,0.046631,1.144994140,EarthFixedEcefV1,EcefAscent,0x0000,0x6de28768
47.968750,28.500436858,-80.549499838,23.691162,4.961914,0.049805,1.193267882,EarthFixedEcefV1,EcefAscent,0x0000,0x406dd5a7
48.968750,28.500457349,-80.545360744,24.839111,5.370605,0.052002,1.243961930,EarthFixedEcefV1,EcefAscent,0x0000,0xcb188ddd
49.968750,28.500487231,-80.540928805,26.033203,5.806885,0.054932,1.297072411,EarthFixedEcefV1,EcefAscent,0x0000,0x3aa0ab04
50.968750,28.500508575,-80.536194630,27.273193,6.273438,0.057861,1.352291703,EarthFixedEcefV1,EcefAscent,0x0000,0x46ddf5d9
51.968750,28.500532481,-80.531147120,28.561035,6.770996,0.061035,1.409870982,EarthFixedEcefV1,EcefAscent,0x0000,0x578748c3
52.968750,28.500562363,-80.525761516,29.900391,7.302490,0.064941,1.470099926,EarthFixedEcefV1,EcefAscent,0x0000,0x45812cc2
53.968750,28.500587122,-80.520013912,31.290527,7.869385,0.068115,1.532904506,EarthFixedEcefV1,EcefAscent,0x0000,0x6bf1b916
54.968750,28.500617004,-80.513884671,32.735352,8.474121,0.071289,1.598044813,EarthFixedEcefV1,EcefAscent,0x0000,0x4d2ff481
55.968750,28.500647740,-80.507351595,34.234863,9.119141,0.075684,1.665752172,EarthFixedEcefV1,EcefAscent,0x0000,0x62831842
56.968750,28.500675915,-80.500395047,35.791748,9.806396,0.079590,1.736268997,EarthFixedEcefV1,EcefAscent,0x0000,0x9f5ae48d
57.968750,28.500709212,-80.492983438,37.407471,10.538330,0.083740,1.809864283,EarthFixedEcefV1,EcefAscent,0x0000,0x54d2b0ad
58.968750,28.500739948,-80.485112072,39.084473,11.317871,0.087891,1.886916280,EarthFixedEcefV1,EcefAscent,0x0000,0xa67b7cab
59.968750,28.500768122,-80.476731430,40.825928,12.145752,0.092285,1.967831671,EarthFixedEcefV1,EcefAscent,0x0000,0x95450c6c
60.000000,28.500768122,-80.476455661,40.881592,12.172607,0.092041,1.970416844,EarthFixedEcefV1,EcefAscent,0x0004,0x1f0f886b
60.968750,28.500798858,-80.468091241,42.597412,13.000977,0.096680,1.960353732,EarthFixedEcefV1,EcefAscent,0x0000,0xab74d790
61.968750,28.500829594,-80.459441660,44.357666,13.856201,0.100830,1.950329185,EarthFixedEcefV1,EcefAscent,0x0000,0x4cefe365
62.968750,28.500856061,-80.450821107,46.107178,14.711182,0.104248,1.940561175,EarthFixedEcefV1,EcefAscent,0x0000,0x150eea76
63.968750,28.500887650,-80.442198847,47.846436,15.565186,0.109375,1.931041002,EarthFixedEcefV1,EcefAscent,0x0000,0x61dc9334
64.968750,28.500914971,-80.433592809,49.575439,16.418457,0.113281,1.921764612,EarthFixedEcefV1,EcefAscent,0x0000,0x4c2e4a48
65.968750,28.500938877,-80.424999577,51.294922,17.270508,0.117432,1.912680984,EarthFixedEcefV1,EcefAscent,0x0000,0xe6fb7359
66.968750,28.500958514,-80.416414029,53.004150,18.123291,0.121094,1.903673172,EarthFixedEcefV1,EcefAscent,0x0000,0x83ec7a65
67.968750,28.500985834,-80.407828482,54.704102,18.974609,0.125488,1.894734740,EarthFixedEcefV1,EcefAscent,0x0000,0xf5931271
68.968750,28.501009740,-80.399256594,56.394287,19.827148,0.129639,1.885864317,EarthFixedEcefV1,EcefAscent,0x0000,0x7c134735
69.968750,28.501026816,-80.390698367,58.074707,20.677979,0.132812,1.877060533,EarthFixedEcefV1,EcefAscent,0x0000,0xe37f4297
70.968750,28.501048160,-80.382136725,59.745850,21.528564,0.136963,1.868322194,EarthFixedEcefV1,EcefAscent,0x0000,0x48a96fad
71.968750,28.501068650,-80.373596427,61.407471,22.379150,0.140137,1.859635949,EarthFixedEcefV1,EcefAscent,0x0000,0xb013caf5
72.968750,28.501081457,-80.365048445,63.059326,23.229492,0.144043,1.850980222,EarthFixedEcefV1,EcefAscent,0x0000,0x79f30c53
73.968750,28.501098533,-80.356514124,64.702148,24.079590,0.147705,1.842354178,EarthFixedEcefV1,EcefAscent,0x0000,0x2315935b
74.968750,28.501116462,-80.347986633,66.335205,24.929199,0.151123,1.833757520,EarthFixedEcefV1,EcefAscent,0x0000,0x8b980d86
75.968750,28.501129268,-80.339469387,67.958740,25.778564,0.154785,1.825189829,EarthFixedEcefV1,EcefAscent,0x0000,0xb9381927
76.968750,28.501146344,-80.330951287,69.572998,26.627441,0.158203,1.816650927,EarthFixedEcefV1,EcefAscent,0x0000,0x1c20b126
77.968750,28.501160858,-80.322444287,71.178223,27.476562,0.161377,1.808137655,EarthFixedEcefV1,EcefAscent,0x0000,0x82a89843
78.968750,28.501170250,-80.313947531,72.773682,28.324707,0.164551,1.799643040,EarthFixedEcefV1,EcefAscent,0x0000,0xb4c8a659
79.968750,28.501177933,-80.305450776,74.359619,29.173096,0.167969,1.791166663,EarthFixedEcefV1,EcefAscent,0x0000,0x25802ead
80.968750,28.501184764,-80.296961705,75.936279,30.020752,0.170898,1.782708585,EarthFixedEcefV1,EcefAscent,0x0000,0xef9f5233
81.968750,28.501195009,-80.288482025,77.503906,30.868408,0.174072,1.774268746,EarthFixedEcefV1,EcefAscent,0x0000,0xd317d6d7
82.968750,28.501204400,-80.280008321,79.062012,31.716064,0.176758,1.765847206,EarthFixedEcefV1,EcefAscent,0x0000,0x8e2b7a26
83.968750,28.501208669,-80.271539741,80.610596,32.562988,0.180176,1.757443786,EarthFixedEcefV1,EcefAscent,0x0000,0xa0ee1ef3
84.968750,28.501212084,-80.263072867,82.150146,33.409912,0.183594,1.749056458,EarthFixedEcefV1,EcefAscent,0x0000,0xd2b77233
85.968750,28.501218061,-80.254629046,83.680420,34.256836,0.186279,1.740684748,EarthFixedEcefV1,EcefAscent,0x0000,0x5e308041
86.968750,28.501221476,-80.246174126,85.201172,35.103027,0.188721,1.732328832,EarthFixedEcefV1,EcefAscent,0x0000,0xff3b3a3c
87.968750,28.501222330,-80.237727743,86.712646,35.949463,0.191406,1.723988831,EarthFixedEcefV1,EcefAscent,0x0000,0xc781daac
88.968750,28.501222330,-80.229292459,88.214600,36.795166,0.194824,1.715664804,EarthFixedEcefV1,EcefAscent,0x0000,0xec7c93bd
89.968750,28.501221476,-80.220850345,89.707520,37.640869,0.196777,1.707356811,EarthFixedEcefV1,EcefAscent,0x0000,0x16fbb995
90.968750,28.501222330,-80.212425307,91.190918,38.486816,0.199707,1.699064791,EarthFixedEcefV1,EcefAscent,0x0000,0xdd34c1ff
91.968750,28.501221476,-80.204007099,92.665283,39.331543,0.202393,1.690788507,EarthFixedEcefV1,EcefAscent,0x0000,0x32a426c6
92.968750,28.501218061,-80.195593160,94.130127,40.176514,0.204346,1.682527900,EarthFixedEcefV1,EcefAscent,0x0000,0x59df7b35
93.968750,28.501212084,-80.187177513,95.585938,41.021484,0.207275,1.674283385,EarthFixedEcefV1,EcefAscent,0x0000,0x486657fb
94.968750,28.501204400,-80.178779795,97.031982,41.866211,0.209473,1.666054785,EarthFixedEcefV1,EcefAscent,0x0000,0x8bff8dc4
95.968750,28.501198424,-80.170375247,98.468750,42.710205,0.211670,1.657842517,EarthFixedEcefV1,EcefAscent,0x0000,0xaceb6e3d
96.968750,28.501191594,-80.161980945,99.896729,43.553955,0.213623,1.649646461,EarthFixedEcefV1,EcefAscent,0x0000,0xa4db0708
97.968750,28.501183910,-80.153596888,101.315186,44.397461,0.215820,1.641466796,EarthFixedEcefV1,EcefAscent,0x0000,0x9f6391d1
98.968750,28.501177933,-80.145212831,102.724609,45.241211,0.218018,1.633303821,EarthFixedEcefV1,EcefAscent,0x0000,0xcba516a0
99.968750,28.501164273,-80.136839872,104.124512,46.084473,0.220215,1.625157595,EarthFixedEcefV1,EcefAscent,0x0000,0x6da16eb5
100.968750,28.501160004,-80.128462645,105.515381,46.927734,0.221924,1.617028177,EarthFixedEcefV1,EcefAscent,0x0000,0xa5852066
101.968750,28.501140367,-80.120099079,106.896240,47.770264,0.223877,1.608915687,EarthFixedEcefV1,EcefAscent,0x0000,0x65c02b1d
102.968750,28.501125853,-80.111735512,108.268555,48.612549,0.225830,1.600820422,EarthFixedEcefV1,EcefAscent,0x0000,0x9d2c7872
103.968750,28.501109632,-80.103381337,109.631348,49.455322,0.227539,1.592742383,EarthFixedEcefV1,EcefAscent,0x0000,0xe3885252
104.968750,28.501095971,-80.095028016,110.985107,50.297119,0.229248,1.584681809,EarthFixedEcefV1,EcefAscent,0x0000,0x64d8fab9
105.968750,28.501078042,-80.086688355,112.329346,51.138428,0.230957,1.576638937,EarthFixedEcefV1,EcefAscent,0x0000,0x112444cd
106.968750,28.501060967,-80.078346132,113.664551,51.980225,0.232666,1.568613827,EarthFixedEcefV1,EcefAscent,0x0000,0xbd00fcab
107.968750,28.501043891,-80.070009887,114.990723,52.821533,0.234375,1.560606718,EarthFixedEcefV1,EcefAscent,0x0000,0x0859b04d
108.968750,28.501020839,-80.061683032,116.307129,53.662354,0.236084,1.552617788,EarthFixedEcefV1,EcefAscent,0x0000,0x2270cf39
109.968750,28.500999495,-80.053353616,117.614746,54.503418,0.237061,1.544647217,EarthFixedEcefV1,EcefAscent,0x0000,0x59409c67
110.968750,28.500979858,-80.045037861,118.913086,55.343994,0.239014,1.536695182,EarthFixedEcefV1,EcefAscent,0x0000,0xd452cbf7
111.812500,28.500965344,-80.038027953,120.001465,56.052734,0.239990,1.530000210,EarthInertialEciV1,EciCoast,0x0008,0x8dfcd09b
111.968750,28.500962783,-80.036733632,120.201660,56.184082,0.240479,1.528761983,EarthInertialEciV1,EciCoast,0x0000,0x9b9b4ed9
112.968750,28.500938877,-80.028424707,121.481934,57.023682,0.241943,1.520847619,EarthInertialEciV1,EciCoast,0x0000,0x3410575c
113.968750,28.500917533,-80.020118343,122.752930,57.863770,0.242920,1.512952447,EarthInertialEciV1,EciCoast,0x0000,0x3589d689
114.968750,28.500890212,-80.011823932,124.014404,58.702637,0.244141,1.505076706,EarthInertialEciV1,EciCoast,0x0000,0xf5989978
115.968750,28.500859476,-80.003524398,125.266357,59.542480,0.244873,1.497220635,EarthInertialEciV1,EciCoast,0x0000,0x77560ad8
116.968750,28.500833009,-79.995239379,126.509033,60.380859,0.246094,1.489384234,EarthInertialEciV1,EciCoast,0x0000,0x5a04c0f5
117.968750,28.500805688,-79.986940699,127.742920,61.220215,0.247559,1.481567800,EarthInertialEciV1,EciCoast,0x0000,0x63a19175
118.968750,28.500770683,-79.978672755,128.967041,62.057861,0.248047,1.473771751,EarthInertialEciV1,EciCoast,0x0000,0x25f42fc7
119.968750,28.500740801,-79.970394566,130.182373,62.896484,0.248779,1.465996087,EarthInertialEciV1,EciCoast,0x0000,0xa756163c
120.968750,28.500712627,-79.962120645,131.388916,63.734863,0.249756,1.458241343,EarthInertialEciV1,EciCoast,0x0000,0xc201dcf8
121.968750,28.500682745,-79.953865508,132.585693,64.571533,0.250732,1.450507224,EarthInertialEciV1,EciCoast,0x0000,0xbbdfcfdf
122.968750,28.500645179,-79.945600979,133.773438,65.409180,0.251221,1.442794502,EarthInertialEciV1,EciCoast,0x0000,0xfb0403b0
123.968750,28.500613589,-79.937344134,134.952637,66.246338,0.251221,1.435103238,EarthInertialEciV1,EciCoast,0x0000,0x809e3a13
124.968750,28.500573462,-79.929089850,136.121338,67.083740,0.252197,1.427433848,EarthInertialEciV1,EciCoast,0x0000,0x2b6b4d70
125.968750,28.500538457,-79.920842397,137.281738,67.920166,0.253418,1.419786274,EarthInertialEciV1,EciCoast,0x0000,0x1978fd55
126.968750,28.500501745,-79.912611165,138.432861,68.756836,0.252930,1.412160993,EarthInertialEciV1,EciCoast,0x0000,0x420fbfe6
127.968750,28.500460764,-79.904367127,139.574707,69.592529,0.253662,1.404558122,EarthInertialEciV1,EciCoast,0x0000,0xd76e29b3
128.968750,28.500422344,-79.896129919,140.707520,70.428711,0.254639,1.396978259,EarthInertialEciV1,EciCoast,0x0000,0x1ff4dbba
129.968750,28.500384778,-79.887900395,141.831055,71.264160,0.254883,1.389421463,EarthInertialEciV1,EciCoast,0x0000,0x0bff68f1
130.968750,28.500336966,-79.879673432,142.945557,72.100098,0.254883,1.381888092,EarthInertialEciV1,EciCoast,0x0000,0x622fdd0a
131.968750,28.500299400,-79.871449030,144.051025,72.935303,0.254395,1.374378204,EarthInertialEciV1,EciCoast,0x0000,0x9cdeb62b
132.968750,28.500255004,-79.863235728,145.146240,73.770508,0.255371,1.366892457,EarthInertialEciV1,EciCoast,0x0000,0x13073927
133.968750,28.500207193,-79.855023279,146.233154,74.605225,0.255371,1.359431088,EarthInertialEciV1,EciCoast,0x0000,0x9a8d7584
134.968750,28.500163650,-79.846809977,147.311523,75.439453,0.255615,1.351994097,EarthInertialEciV1,EciCoast,0x0000,0xcd4f1a55
135.968750,28.500108155,-79.838610334,148.380371,76.273682,0.254639,1.344582319,EarthInertialEciV1,EciCoast,0x0000,0x39453cb9
136.968750,28.500061198,-79.830407277,149.440430,77.107910,0.254150,1.337195516,EarthInertialEciV1,EciCoast,0x0000,0x06ede7e5
137.968750,28.500016801,-79.822200805,150.490723,77.941895,0.254395,1.329834580,EarthInertialEciV1,EciCoast,0x0000,0x208fb773
138.968750,28.499971551,-79.814025922,151.531738,78.774658,0.254883,1.322499335,EarthInertialEciV1,EciCoast,0x0000,0x512ef1e2
139.968750,28.499920325,-79.805830549,152.563965,79.608643,0.254639,1.315190673,EarthInertialEciV1,EciCoast,0x0000,0x65962acc
140.968750,28.499866537,-79.797654813,153.586670,80.441650,0.253906,1.307908475,EarthInertialEciV1,EciCoast,0x0000,0x2cccf1cc
141.968750,28.499821287,-79.789462001,154.601318,81.274414,0.253662,1.300653398,EarthInertialEciV1,EciCoast,0x0000,0x975c87cf
142.968750,28.499764084,-79.781288826,155.605713,82.106934,0.253174,1.293425679,EarthInertialEciV1,EciCoast,0x0000,0x5fe5a09d
143.968750,28.499715419,-79.773120773,156.601562,82.939209,0.253174,1.286225557,EarthInertialEciV1,EciCoast,0x0000,0x1547ba88
144.968750,28.499650532,-79.764944183,157.587402,83.770508,0.251709,1.279053867,EarthInertialEciV1,EciCoast,0x0000,0x99e11ced
145.968750,28.499600160,-79.756785522,158.565186,84.603027,0.250732,1.271910667,EarthInertialEciV1,EciCoast,0x0000,0xe1483e0d
146.968750,28.499537834,-79.748620031,159.533691,85.434082,0.250488,1.264796376,EarthInertialEciV1,EciCoast,0x0000,0xfdf0b6da
147.968750,28.499476363,-79.740457955,160.492188,86.265625,0.249512,1.257711470,EarthInertialEciV1,EciCoast,0x0000,0x80df4906
148.968750,28.499425136,-79.732299294,161.442871,87.096924,0.249268,1.250656307,EarthInertialEciV1,EciCoast,0x0000,0x4afb0274
149.968750,28.499357688,-79.724155147,162.383789,87.927490,0.247803,1.243631423,EarthInertialEciV1,EciCoast,0x0000,0xc69638aa
150.968750,28.499299631,-79.715999901,163.315674,88.758545,0.247070,1.236637175,EarthInertialEciV1,EciCoast,0x0000,0x301b2485
151.968750,28.499237306,-79.707857462,164.237793,89.588623,0.246582,1.229673922,EarthInertialEciV1,EciCoast,0x0000,0x311e0669
152.968750,28.499173273,-79.699722707,165.151855,90.418701,0.245117,1.222742140,EarthInertialEciV1,EciCoast,0x0000,0xa402e1cd
153.968750,28.499104971,-79.691581975,166.056396,91.248291,0.243408,1.215842664,EarthInertialEciV1,EciCoast,0x0000,0x9dbde4ef
154.968750,28.499039231,-79.683453196,166.951904,92.077881,0.242432,1.208975375,EarthInertialEciV1,EciCoast,0x0000,0xdd0f86b2
155.968750,28.498978613,-79.675315026,167.839111,92.907471,0.240967,1.202141047,EarthInertialEciV1,EciCoast,0x0000,0xf1606000
156.968750,28.498912872,-79.667187100,168.715576,93.736816,0.240479,1.195340455,EarthInertialEciV1,EciCoast,0x0000,0x04cd9213
157.968750,28.498841155,-79.659066006,169.583984,94.564941,0.238525,1.188573599,EarthInertialEciV1,EciCoast,0x0000,0x8a2fff2a
158.968750,28.498772853,-79.650942349,170.442871,95.394531,0.237549,1.181841195,EarthInertialEciV1,EciCoast,0x0000,0xc62b336c
159.968750,28.498695160,-79.642828085,171.292480,96.222412,0.235596,1.175143719,EarthInertialEciV1,EciCoast,0x0000,0xb233ea35
160.968750,28.498623443,-79.634716381,172.133789,97.050293,0.234131,1.168481767,EarthInertialEciV1,EciCoast,0x0000,0x6c629a91
161.968750,28.498554287,-79.626595286,172.966309,97.878662,0.232422,1.161855698,EarthInertialEciV1,EciCoast,0x0000,0x9c0b65bf
162.968750,28.498483424,-79.618491267,173.788574,98.706299,0.230713,1.155266404,EarthInertialEciV1,EciCoast,0x0000,0xe21b2b24
163.968750,28.498404877,-79.610388101,174.602539,99.533447,0.229004,1.148714125,EarthInertialEciV1,EciCoast,0x0000,0x8067e6da
164.968750,28.498336575,-79.602283228,175.407227,100.360840,0.227783,1.142199516,EarthInertialEciV1,EciCoast,0x0000,0x736d6211
165.968750,28.498257174,-79.594182624,176.202881,101.188477,0.224609,1.135723233,EarthInertialEciV1,EciCoast,0x0000,0x492f9e62
166.968750,28.498179480,-79.586092691,176.989258,102.014160,0.223877,1.129285634,EarthInertialEciV1,EciCoast,0x0000,0x90876d8a
167.968750,28.498107763,-79.577998917,177.767090,102.840820,0.221436,1.122887731,EarthInertialEciV1,EciCoast,0x0000,0xb85b9c9c
168.968750,28.498025801,-79.569909412,178.535645,103.667969,0.219727,1.116529644,EarthInertialEciV1,EciCoast,0x0000,0x3b55a213
169.968750,28.497943839,-79.561825029,179.294922,104.493164,0.217285,1.110212147,EarthInertialEciV1,EciCoast,0x0000,0xcef44eca
170.968750,28.497868707,-79.553738085,180.045166,105.319092,0.215576,1.103936136,EarthInertialEciV1,EciCoast,0x0000,0xcc207fc2
171.968750,28.497779061,-79.545651995,180.786377,106.145264,0.212891,1.097702146,EarthInertialEciV1,EciCoast,0x0000,0x8ca1e90e
172.968750,28.497694537,-79.537571881,181.518555,106.969971,0.210938,1.091510594,EarthInertialEciV1,EciCoast,0x0000,0x9229c173
173.968750,28.497615990,-79.529497744,182.241211,107.794922,0.208496,1.085362136,EarthInertialEciV1,EciCoast,0x0000,0x979c4576
174.968750,28.497527197,-79.521421045,182.955811,108.619141,0.206055,1.079257905,EarthInertialEciV1,EciCoast,0x0000,0x655a4036
175.968750,28.497445235,-79.513351177,183.660889,109.444336,0.203369,1.073197842,EarthInertialEciV1,EciCoast,0x0000,0x2a99a7b1
176.968750,28.497352174,-79.505288992,184.356689,110.268066,0.201172,1.067183435,EarthInertialEciV1,EciCoast,0x0000,0xac230961
177.968750,28.497264235,-79.497219124,185.043457,111.092773,0.198486,1.061214864,EarthInertialEciV1,EciCoast,0x0000,0x7c9e5056
178.968750,28.497178858,-79.489152670,185.721680,111.916260,0.196289,1.055292964,EarthInertialEciV1,EciCoast,0x0000,0x9676f566
179.968750,28.497092627,-79.481093047,186.390869,112.739502,0.193604,1.049418449,EarthInertialEciV1,EciCoast,0x0000,0x7aedea89
180.968750,28.496997858,-79.473039400,187.050293,113.563232,0.190918,1.043592036,EarthInertialEciV1,EciCoast,0x0000,0x1d241374
181.968750,28.496904796,-79.464987461,187.701660,114.385986,0.187500,1.037814796,EarthInertialEciV1,EciCoast,0x0000,0xd096ad47
182.968750,28.496809174,-79.456930399,188.342529,115.208984,0.185303,1.032086849,EarthInertialEciV1,EciCoast,0x0000,0x37065669
183.968750,28.496723796,-79.448881021,188.976318,116.031494,0.182373,1.026409507,EarthInertialEciV1,EciCoast,0x0000,0xe8001a37
184.968750,28.496629028,-79.440835912,189.599854,116.853760,0.179688,1.020783365,EarthInertialEciV1,EciCoast,0x0000,0x3141b11c
185.968750,28.496532551,-79.432789095,190.214844,117.675537,0.176025,1.015209138,EarthInertialEciV1,EciCoast,0x0000,0xae5c86bb
186.968750,28.496434367,-79.424737156,190.819580,118.497803,0.173096,1.009687841,EarthInertialEciV1,EciCoast,0x0000,0x396d5235
187.968750,28.496342160,-79.416698024,191.416504,119.319580,0.170166,1.004219890,EarthInertialEciV1,EciCoast,0x0000,0xe4d8bab5
188.968750,28.496245683,-79.408662306,192.004639,120.140625,0.166992,0.998806596,EarthInertialEciV1,EciCoast,0x0000,0x5e81926a
189.968750,28.496146645,-79.400632565,192.583496,120.962158,0.163574,0.993448436,EarthInertialEciV1,EciCoast,0x0000,0xda6a1cbb
190.968750,28.496040777,-79.392590017,193.152832,121.782715,0.160156,0.988146365,EarthInertialEciV1,EciCoast,0x0000,0x9319313b
191.968750,28.495941740,-79.384557715,193.712891,122.603271,0.156982,0.982901156,EarthInertialEciV1,EciCoast,0x0000,0xb9d8871d
192.968750,28.495836726,-79.376519436,194.264893,123.424072,0.153564,0.977713943,EarthInertialEciV1,EciCoast,0x0000,0xe213f516
